ACCOUNT NUMBER,TXN DATE,TXN AMT,CURRENCY,,DESCRIPTION,ID
28004089,02/04/2013,-5000.00,GBP,100062.61,HMRC - NI DD    ,39
28004089,02/04/2013,-1000.00,GBP,95062.61,W M MORRISON,40
28004089,03/04/2013,10.00,GBP,94062.61,W M MORRISON,41
28004089,08/04/2013,350.00,GBP,94072.61,SKY/7686207,42
28004089,08/04/2013,-250.00,GBP,94422.61,BT GROUP PLC  ,43
28004089,22/04/2013,-26.51,GBP,94172.61,W M MORRISON,44
28004089,01/05/2013,22.53,GBP,94146.10,E.ON      ,45
28004089,10/05/2013,-20.00,GBP,94168.63,HMRC - NI DD     REST.,46
28004089,13/05/2013,223.00,GBP,94148.63,W M MORRISON,47
28004089,29/05/2013,-28266.50,GBP,94371.63,HMRC - NI DD     REST.,48
28004089,29/05/2013,5.00,GBP,66105.13,HMRC - NI DD     REST.,49
28004089,30/05/2013,10.00,GBP,66110.13,SAVERS,50
28004089,03/06/2013,20.00,GBP,66120.13,HMRC - NI DD     REST.,51
28004089,27/06/2013,1150.00,GBP,66140.13,W M MORRISON,52
28004089,01/07/2013,525.00,GBP,67290.13,NEW/09233341,53
28004089,02/07/2013,-180.00,GBP,67815.13,NEW LOOK INTERNET,54
28004089,08/07/2013,83.88,GBP,67635.13,HMRC - NI DD     REST.,55
28004089,08/07/2013,510.00,GBP,67719.01,FDR POS TERM RENT,56
28004089,08/07/2013,68.00,GBP,68229.01,FDR POS TERM RENT,57
28004089,08/07/2013,1651.20,GBP,68297.01,HMRC - NI DD     REST.,58
28004089,23/08/2013,-16.62,GBP,69948.21,HMRC - NI DD     REST.,59
28004089,23/08/2013,30.00,GBP,69931.59,HMRC - NI DD     REST.,60
28004089,27/08/2013,-11.00,GBP,69961.59,HMRC - NI DD     REST.,61
28004089,27/08/2013,-3000.00,GBP,69950.59,HMRC - NI DD     REST.,62
28004089,02/04/2013,362.00,GBP,66950.59,BT DIRECT DEBITS ,63
28194341,02/04/2013,-230.00,GBP,100000.00,PAYPAL/000980020227990,64
28194341,03/04/2013,-182.06,GBP,99770.00,PAYPAL/000980020293992,65
28194341,04/04/2013,161.00,GBP,99587.94,PREMIUM CREDIT LTD,66
28194341,04/04/2013,22.00,GBP,99748.94,OPCS/54524871,67
28194341,04/04/2013,-8280.00,GBP,99770.94,PREMIUM CREDIT LTD,68
28194341,05/04/2013,-851.50,GBP,91490.94,ORANGE (A/PG/01),69
28194341,05/04/2013,-2.15,GBP,90639.44,PREMIUM CREDIT LTD,70
28194341,05/04/2013,328.30,GBP,90637.29,PREMIUM CREDIT LTD,71
28194341,08/04/2013,-250.25,GBP,90965.59,PAYPAL/000980020227990,72
28194341,12/04/2013,-535.80,GBP,90715.34,PAYPAL/000980020227990,73
28194341,01/05/2013,-205.00,GBP,90179.54,MORTGAGE EXPRESS,74
28194341,07/05/2013,-225.50,GBP,89974.54,PREMIUM CREDIT LTD,75
28194341,07/05/2013,500.00,GBP,89749.04,PREMIUM CREDIT LTD,76
28194341,07/05/2013,-225.00,GBP,90249.04,BT DIRECT DEBITS ,77
28194341,07/05/2013,-10.00,GBP,90024.04,SAINSBURYS S/MKTS,78
28194341,07/05/2013,2186.20,GBP,90014.04,PREMIUM CREDIT LTD,79
28194341,07/05/2013,25.66,GBP,92200.24,PREMIUM CREDIT LTD,80
28194341,13/05/2013,-23.21,GBP,92225.90,MORTGAGE EXPRESS,81
28194341,24/05/2013,-18.86,GBP,92202.69,JUST/6056147,82
28194341,28/05/2013,-138.53,GBP,92183.83,BT GROUP PLC  ,83
28194341,30/05/2013,-180.66,GBP,92045.30,APPLE/206996000200925,84
28194341,03/06/2013,288.02,GBP,91864.64,SAINSBURYS LOCAL,85
28194341,04/06/2013,2661.12,GBP,92152.66,PREMIUM CREDIT LTD,86
28194341,04/06/2013,121.53,GBP,94813.78,PAYPAL/000980020227990,87
28194341,05/06/2013,1280.00,GBP,94935.31,SAINSBURYS S/MKTS,88
28194341,05/06/2013,6588.12,GBP,96215.31,PREMIUM CREDIT LTD,89
28194341,05/06/2013,-1183.80,GBP,102803.43,PAYPAL/000980020227990,90
28194341,06/06/2013,2000.00,GBP,101619.63,BT DIRECT DEBITS ,91
28194341,06/06/2013,86.30,GBP,103619.63,BT DIRECT DEBITS ,92
28194341,06/06/2013,1511.00,GBP,103705.93,BT DIRECT DEBITS ,93
28194341,10/06/2013,128.10,GBP,105216.93,PAYPAL/000980200119991,94
28194341,10/06/2013,168.00,GBP,105345.03,PAYPAL/000980020227990,95
28194341,19/06/2013,-100.00,GBP,105513.03,PAYPAL/000980020293992,96
28194341,21/06/2013,23062.80,GBP,105413.03,JUST/6056147,97
28194341,24/06/2013,100.00,GBP,128475.83,JUST/6056147,98
28194341,24/06/2013,5185.63,GBP,128575.83,BT GROUP PLC  ,99
28194341,24/06/2013,282.60,GBP,133761.46,BT GROUP PLC  ,100
28194341,26/06/2013,-863.00,GBP,134044.06,PAYPAL/000980200119991,101
28194341,08/07/2013,-538.20,GBP,133181.06,PG/01)/ORANGE (A,102
28194341,08/07/2013,-201.02,GBP,132642.86,FDR POS TERM RENT,103
28194341,09/07/2013,-212.63,GBP,132441.84,PAYPAL/000980020293992,104
28194341,09/07/2013,825.00,GBP,132229.21,ORANGE (A/PG/01),105
28194341,12/07/2013,600.00,GBP,133054.21,JUST/6056147,106
28194341,15/07/2013,-25.00,GBP,133654.21,BT GROUP PLC  ,107
28194341,18/07/2013,-612.61,GBP,133629.21,PAYPAL/000980020227990,108
28194341,19/07/2013,662.00,GBP,133016.60,PAYPAL/000980200119991,109
28194341,22/07/2013,-21.56,GBP,133678.60,SAINSBURYS S/MKTS,110
28194341,25/07/2013,256.22,GBP,133657.04,JUST/6056147,111
28194341,29/07/2013,810.60,GBP,133913.26,BT GROUP PLC  ,112
28194341,31/07/2013,-1000.00,GBP,134723.86,ADMIRAL/7844707,113
28194341,01/08/2013,200.00,GBP,133723.86,ADMIRAL INSURANCE,114
28194341,02/08/2013,-58.38,GBP,133923.86,PAYPAL/000980200119991,115
28194341,05/08/2013,3000.00,GBP,133865.48,PAYPAL/000980020227990,116
28194341,05/08/2013,-1228.86,GBP,136865.48,PAYPAL/000980200119991,117
28194341,08/08/2013,-12.12,GBP,135636.62,PAYPAL/000980020227990,118
28194341,09/08/2013,-68.26,GBP,135624.50,NEXT/24120672,119
28194341,12/08/2013,11883.00,GBP,135556.24,NEXT DIRECTORY,120
28194341,13/08/2013,-338.61,GBP,147439.24,DVLA/5124581,121
28194341,14/08/2013,-1386.00,GBP,147100.63,BT GROUP PLC  ,122
28290313,11/04/2013,100.00,GBP,100000.00,02/4840575,123
28290313,15/04/2013,-115.20,GBP,100100.00,02 UK,124
28290313,26/04/2013,200.00,GBP,99984.80,LOVEFILM.COM/195130000156,125
28290313,29/04/2013,366.00,GBP,100184.80,lovefilm.com,126
28290313,03/05/2013,8300.00,GBP,100550.80,M6/6812242,127
28290313,07/05/2013,2083.00,GBP,108850.80,M6 TOLL,128
28290313,09/05/2013,-2002.08,GBP,110933.80,02/4840575,129
28290313,10/05/2013,-220.66,GBP,108931.72,02 UK,130
28290313,20/05/2013,286.63,GBP,108711.06,RAC MOTORING SERVI,131
28290313,20/05/2013,-280.25,GBP,108997.69,RAC/54933741,132
28290313,28/05/2013,-500.00,GBP,108717.44,lovefilm.com,133
28290313,28/05/2013,-28.82,GBP,108217.44,LOVEFILM.COM/195130000156,134
28290313,10/06/2013,-500.00,GBP,108188.62,02/4840575,135
28290313,11/06/2013,3831.20,GBP,107688.62,PAYPAL/000980020227990,136
28290313,11/06/2013,-2325.86,GBP,111519.82,02 UK,137
28290313,17/06/2013,-800.00,GBP,109193.96,TESCO BANK,138
28290313,26/06/2013,-1888.05,GBP,108393.96,LOVEFILM.COM/195130000156,139
28290313,26/06/2013,-280.00,GBP,106505.91,O2/6303895,140
28290313,27/06/2013,-15000.00,GBP,106225.91,lovefilm.com,141
28290313,04/07/2013,-216.68,GBP,91225.91,PAYPAL/000980200119991,142
28290313,10/07/2013,-1883.30,GBP,91009.23,02/4840575,143
28290313,11/07/2013,-35.00,GBP,89125.93,02 UK,144
28290313,26/07/2013,20.00,GBP,89090.93,LOVEFILM.COM/195130000156,145
28290313,29/07/2013,-32.56,GBP,89110.93,lovefilm.com,146
28290313,27/08/2013,-22.33,GBP,89078.37,LOVEFILM.COM/195130000156,147
28290313,27/08/2013,2121.20,GBP,100000.00,lovefilm.com,148
28290375,02/04/2013,8620.00,GBP,100000.00,GREATER ANGLIA,149
28290375,02/04/2013,-263.65,GBP,108620.00,SUPERDRUG STORES PLC,150
28290375,02/04/2013,66.60,GBP,108356.35,99P STORES,151
28290375,02/04/2013,816.00,GBP,108422.95,CLAIRE'S ACCESSORIES,152
28290375,02/04/2013,-20.00,GBP,109238.95,MONSOON/ACCZ LTD,153
28290375,02/04/2013,660.00,GBP,109218.95,APPLE/206996000200925,154
28290375,02/04/2013,100.00,GBP,109878.95,ACCZ/MONSOON,155
28290375,04/04/2013,-0.01,GBP,109978.95,VODAFONE LIMITED ,156
28290375,05/04/2013,-22.00,GBP,109978.94,GREATER ANGLIA,157
28290375,08/04/2013,2368.82,GBP,109956.94,HMRC - NI DD     REST,158
28290375,08/04/2013,18.50,GBP,112325.76,HMRC - NI DD     REST,159
28290375,10/04/2013,-2250.00,GBP,112344.26,HOBBY CRAFT LTD,160
28290375,10/04/2013,663.06,GBP,110094.26,AMAZON/057193000156182,161
28290375,10/04/2013,-120.00,GBP,110757.32,AMAZON/057193000156182,162
28290375,12/04/2013,-1000.00,GBP,110637.32,Amazon *Mktplce EU-UK,163
28290375,12/04/2013,-2382.83,GBP,109637.32,GREATER ANGLIA,164
28290375,12/04/2013,150.00,GBP,107254.49,Amazon *Mktplce EU-UK,165
28290375,15/04/2013,-280.22,GBP,107404.49,ARGOS LTD,166
28290375,15/04/2013,-332.28,GBP,107124.27,ARGOS LTD,167
28290375,15/04/2013,-1080.18,GBP,106791.99,99P STORES,168
28290375,15/04/2013,-2026.00,GBP,105711.81,APPLE/206996000200925,169
28290375,16/04/2013,-1820.00,GBP,103685.81,VODAFONE LIMITED ,170
28290375,16/04/2013,555.00,GBP,101865.81,TOYS R US,171
28290375,22/04/2013,212.00,GBP,102420.81,99P STORES,172
28290375,26/04/2013,-125.00,GBP,102632.81,GREATER ANGLIA,173
28290375,29/04/2013,-12.50,GBP,102507.81,AMAZON/057186000156182,174
28290375,29/04/2013,-51.60,GBP,102495.31,AMAZON/057193000156182,175
28290375,29/04/2013,-32.20,GBP,102443.71,AMAZON/057193000156182,176
28290375,29/04/2013,-238.60,GBP,102411.51,AMAZON/057193000156182,177
28290375,29/04/2013,-32.00,GBP,102172.91,AMAZON/057193000156182,178
28290375,30/04/2013,1000.00,GBP,102140.91,Amazon *Mktplce EU-UK,179
28290375,30/04/2013,25.00,GBP,103140.91,Amazon *Mktplce EU-UK,180
28290375,01/05/2013,130.00,GBP,103165.91,Amazon *Mktplce EU-UK,181
28290375,01/05/2013,-30.00,GBP,103295.91,Amazon *Mktplce EU-UK,182
28290375,02/05/2013,1232.00,GBP,103265.91,Amazon EU,183
28290375,03/05/2013,532.58,GBP,104497.91,OFFICE HOLDINGS,184
28290375,08/05/2013,-100.00,GBP,105030.49,SAINSBURYS S/MKTS,185
28290375,17/05/2013,1212.00,GBP,104930.49,O/GREATER ANGLIA T L,186
28290375,20/05/2013,-300.00,GBP,106142.49,GREATER ANGLIA,187
28290375,20/05/2013,-600.00,GBP,105842.49,GREATER ANGLIA T/O,188
28290375,28/05/2013,566.61,GBP,105242.49,CINEWORLD.CO.UK,189
28290375,28/05/2013,580.00,GBP,105809.10,MATALAN RETAIL LTD,190
28290375,28/05/2013,102.58,GBP,106389.10,CINEWORLD/4814232,191
28290375,28/05/2013,283.00,GBP,106491.68,CINEWORLD/4814232,192
28290375,31/05/2013,100.00,GBP,106774.68,GREATER ANGLIA T/O,193
28290375,05/06/2013,60.00,GBP,106874.68,IKEA,194
28290375,10/06/2013,3.00,GBP,106934.68,APPLE/206996000200925,195
28290375,10/06/2013,-11328.56,GBP,106937.68,BT GROUP PLC  ,196
28290375,11/06/2013,821.81,GBP,95609.12,SUBWAY,197
28290375,11/06/2013,-56.81,GBP,96430.93,MATALAN RETAIL LTD,198
28290375,12/06/2013,-120.23,GBP,96374.12,BT GROUP PLC  ,199
28290375,17/06/2013,150.00,GBP,96253.89,VODAFONE LIMITED ,200
28290375,17/06/2013,602.23,GBP,96403.89,APPLE/206996000200925,201
28290375,17/06/2013,-150.00,GBP,97006.12,APPLE/206996000200925,202
28290375,17/06/2013,-181.81,GBP,96856.12,BT GROUP PLC  ,203
28290375,18/06/2013,-866.21,GBP,96674.31,VODAFONE LIMITED ,204
28290375,19/06/2013,-28.32,GBP,95808.10,BT GROUP PLC  ,205
28290375,26/06/2013,-268.68,GBP,95779.78,APPLE/206996000200925,206
28290375,28/06/2013,-562.88,GBP,95511.10,VODAFONE LIMITED ,207
28290375,01/07/2013,-355.52,GBP,94948.22,AMAZON/057193000156182,208
28290375,02/07/2013,-251.88,GBP,94592.70,APPLE/206996000200925,209
28290375,03/07/2013,-86.50,GBP,94340.82,Amazon *Mktplce EU-UK,210
28290375,03/07/2013,-258.20,GBP,94254.32,VODAFONE LIMITED ,211
28290375,08/07/2013,-236.16,GBP,93996.12,GREATER ANGLIA T/O,212
28290375,09/07/2013,-181.66,GBP,93759.96,APPLE/206996000200925,213
28290375,11/07/2013,-23.08,GBP,93578.30,VODAFONE LIMITED ,214
28290375,11/07/2013,1000.00,GBP,93555.22,GREATER ANGLIA T/O,215
28290375,16/07/2013,-1166.36,GBP,94555.22,APPLE/206996000200925,216
28290375,18/07/2013,-206.86,GBP,93388.86,VODAFONE LIMITED ,217
28290375,01/08/2013,-238.00,GBP,93182.00,APPLE/206996000200925,218
28290375,01/08/2013,-882.86,GBP,92944.00,APPLE/206996000200925,219
28290375,02/08/2013,-50.00,GBP,92061.14,VODAFONE LIMITED ,220
28290375,06/08/2013,-15.00,GBP,92011.14,HOME BARGAINS,221
28290375,12/08/2013,-22.00,GBP,91996.14,RIVER/37146083,222
28290375,12/08/2013,-65.00,GBP,91974.14,APPLE/206996000200925,223
28290375,13/08/2013,-138.00,GBP,91909.14,E.ON      ,224
28290375,13/08/2013,-16.00,GBP,91771.14,VODAFONE LIMITED ,225
28290375,14/08/2013,82.00,GBP,91755.14,RIVER ISLAND 400,226
28290375,23/08/2013,-155.66,GBP,91837.14,APPLE/206996000200925,227
28290375,29/08/2013,-1500.00,GBP,91681.48,PAYPAL/000980020230994,228
28290375,29/08/2013,28.16,GBP,90181.48,PAYPAL/000980200119991,229
28290375,30/08/2013,-88.00,GBP,90209.64,APPLE/206996000200925,230
28290392,12/04/2013,-861.02,GBP,100000.00,PAYPAL/000980200117995,231
28290392,12/04/2013,386.00,GBP,99138.98,PAYPAL/000980020230994,232
28290392,12/04/2013,-500.00,GBP,99524.98,PAYPAL/000980200117995,233
28290392,15/04/2013,-162.00,GBP,99024.98,APPLE/206996000200925,234
28290392,15/04/2013,120.00,GBP,98862.98,APPLE/206996000200925,235
28290392,15/04/2013,-125.60,GBP,98982.98,APPLE/206996000200925,236
28290392,16/04/2013,1323.00,GBP,98857.38,VODAFONE LIMITED ,237
28290392,29/04/2013,880.00,GBP,100180.38,APPLE/206996000200925,238
28290392,01/05/2013,-500.00,GBP,101060.38,VODAFONE LIMITED ,239
28290392,07/05/2013,11.65,GBP,100560.38,APPLE/206996000200925,240
28290392,09/05/2013,680.00,GBP,100572.03,VODAFONE LIMITED ,241
28290392,22/05/2013,-200.00,GBP,101252.03,APPLE/206996000200925,242
28290392,24/05/2013,-360.00,GBP,101052.03,VODAFONE LIMITED ,243
28290392,28/05/2013,-100.00,GBP,100692.03,HMRC - NI DD     REST,244
28290392,28/05/2013,-128.28,GBP,100592.03,SAINSBURYS,245
28290392,31/05/2013,-1168.30,GBP,100463.75,EAST MIDLANDS TRAI,246
28290392,03/06/2013,-681.60,GBP,99295.45,HMRC - NI DD    ,247
28290392,03/06/2013,150.00,GBP,98613.85,SHOWCASE CINEMAS,248
28290392,03/06/2013,-285.60,GBP,98763.85,SHOWCASE CINEMAS,249
28290392,10/06/2013,-2013.25,GBP,98478.25,APPLE/206996000200925,250
28290392,12/06/2013,800.00,GBP,96465.00,VODAFONE LIMITED ,251
28290392,19/06/2013,-121.68,GBP,97265.00,EAST MIDLANDS TRAI,252
28290392,04/07/2013,365.00,GBP,97143.32,MORRISON PETROL,253
28290392,22/07/2013,12000.00,GBP,97508.32,CASH CHARGE,254
28290392,23/07/2013,-688.31,GBP,109508.32,FOREIGN CASH FEE,255
28290392,05/08/2013,-160.00,GBP,108820.01,APPLE/206996000200925,256
28290392,07/08/2013,-2862.60,GBP,108660.01,PAYPAL/000980020435999,257
28290392,08/08/2013,-12828.51,GBP,105797.41,TOPMAN/O2,258
28290392,09/08/2013,-28.00,GBP,92968.90,SAINSBURYS,259
28290392,09/08/2013,-26.00,GBP,92940.90,EAST MIDLANDS TRAI,260
28290392,09/08/2013,-66.25,GBP,92914.90,O2/TOPMAN,261
28290392,12/08/2013,1230.62,GBP,92848.65,HMRC - NI DD     REST,262
28290392,12/08/2013,-3600.00,GBP,94079.27,VODAFONE LIMITED ,263
28290392,13/08/2013,38.20,GBP,90479.27,TRAINLINE.COM,264
28290392,14/08/2013,308.32,GBP,90517.47,HMRC,265
28290392,14/08/2013,-20.00,GBP,90825.79,EAST MIDLANDS TRAI,266
28290392,16/08/2013,-851.32,GBP,90805.79,SAINSBURYS,267
28290392,19/08/2013,-312.62,GBP,89954.47,HMRC - NI DD     REST,268
28398287,02/04/2013,-168.60,GBP,100000.00,SAINSBURYS S/MKTS,269
28398287,02/04/2013,-625.00,GBP,99831.40,SAINSBURYS S/MKTS,270
28398287,02/04/2013,-180.00,GBP,99206.40,HMRC - NI DD     REST,271
28398287,03/04/2013,-10000.00,GBP,99026.40,SAINSBURYS S/MKTS,272
28398287,04/04/2013,15583.00,GBP,89026.40,MORTGAGE EXPRESS,273
28398287,05/04/2013,1000.00,GBP,104609.40,CEX,274
28398287,08/04/2013,-5515.35,GBP,105609.40,MORTGAGE EXPRESS,275
28398287,09/04/2013,-16680.53,GBP,100094.05,MORTGAGE EXPRESS,276
28398287,19/04/2013,368.00,GBP,83413.52,MORTGAGE EXPRESS,277
28398287,22/04/2013,-2820.00,GBP,83781.52,CEX,278
28398287,01/05/2013,25.50,GBP,80961.52,SAINSBURYS S/MKTS,279
28398287,01/05/2013,-180.00,GBP,80987.02,MORTGAGE EXPRESS,280
28398287,01/05/2013,-283.83,GBP,80807.02,CEX,281
28398287,03/05/2013,-1615.80,GBP,80523.19,MORTGAGE EXPRESS,282
28398287,14/05/2013,866.02,GBP,78907.39,MORTGAGE EXPRESS,283
28398287,16/05/2013,200.00,GBP,79773.41,MORTGAGE EXPRESS,284
28398287,16/05/2013,-565.00,GBP,79973.41,CEX,285
28398287,23/05/2013,256.63,GBP,79408.41,HMRC - NI DD     REST,286
28398287,12/06/2013,60.66,GBP,79665.04,CEX,287
28398287,13/06/2013,112.66,GBP,79725.70,HMV UK LTD,288
28398287,17/06/2013,30.00,GBP,79838.36,APPLE/206996000200925,289
28398287,25/06/2013,-80.66,GBP,79868.36,MORTGAGE EXPRESS,290
28398287,02/07/2013,-162.50,GBP,79787.70,CEX,291
28398287,04/07/2013,-10656.63,GBP,79625.20,MORTGAGE EXPRESS,292
28398287,14/08/2013,6833.06,GBP,68968.57,BT DIRECT DEBITS ,293
28398287,19/08/2013,18.83,GBP,75801.63,POUNDWORLD RETAIL LTD,294
28398287,20/08/2013,1661.81,GBP,75820.46,HMV UK LTD,295
28398287,21/08/2013,581.62,GBP,77482.27,CEX,296
28398287,22/08/2013,331.36,GBP,78063.89,MORTGAGE EXPRESS,297
28398287,27/08/2013,-1500.00,GBP,78395.25,SUPERDRUG STORES PLC,298
28398287,27/08/2013,20000.00,GBP,76895.25,CEX,299
28398287,27/08/2013,16.50,GBP,96895.25,MORTGAGE EXPRESS,300
28398287,28/08/2013,2306.20,GBP,96911.75,BT DIRECT DEBITS ,301
28398412,16/04/2013,25.00,GBP,99217.95,APPLE/206996000200925,302
28398412,18/04/2013,-65.23,GBP,99242.95,VODAFONE LIMITED ,303
28398412,18/04/2013,-2650.80,GBP,99177.72,THOMSON,304
28398412,19/04/2013,-115.26,GBP,96526.92,E.ON      ,305
28398412,23/04/2013,-2620.86,GBP,96411.66,E.ON      ,306
28398412,24/04/2013,30.00,GBP,93790.80,APPLE/206996000200925,307
28398412,25/04/2013,3680.00,GBP,93820.80,VODAFONE LIMITED ,308
28398412,30/04/2013,-551.66,GBP,97500.80,APPLE/206996000200925,309
28398412,01/05/2013,-6880.66,GBP,96949.14,VODAFONE LIMITED ,310
28398412,14/05/2013,-2666.36,GBP,90068.48,APPLE/206996000200925,311
28398412,16/05/2013,62.60,GBP,87402.12,VODAFONE LIMITED ,312
28398412,22/07/2013,-2216.00,GBP,87464.72,APPLE/206996000200925,313
28398412,29/07/2013,-220.00,GBP,85248.72,VODAFONE LIMITED ,314
28398412,29/07/2013,-631.00,GBP,85028.72,APPLE/206996000200925,315
28398412,12/08/2013,-22.56,GBP,84397.72,HMRC - NI DD     REST.,316
28398412,12/08/2013,2.50,GBP,84375.16,SHOWCASE CINEMAS,317
28398412,19/08/2013,-225.88,GBP,84377.66,NON-STG TRANS FEE,318
28398412,19/08/2013,800.00,GBP,84151.78,NON-STG PURCH FEE,319
28398412,21/08/2013,160.68,GBP,84951.78,NON-STG TRANS FEE,320
28398412,21/08/2013,-82.08,GBP,85112.46,NON-STG PURCH FEE,321
28398412,21/08/2013,-6.52,GBP,85030.38,NON-STG TRANS FEE,322
28398412,21/08/2013,-33.31,GBP,85023.86,NON-STG CASH FEE,323
28398412,22/08/2013,-180.51,GBP,84990.55,NON-STG TRANS FEE,324
28398412,22/08/2013,-652.12,GBP,84810.04,NON-STG PURCH FEE,325
28398412,22/08/2013,-6.23,GBP,84157.92,APPLE/206996000200925,326
28398412,27/08/2013,-1218.26,GBP,84151.69,VODAFONE LIMITED ,327
28398412,27/08/2013,-162.26,GBP,82933.43,NON-STG TRANS FEE,328
28398412,27/08/2013,-23.68,GBP,82771.17,NON-STG CASH FEE,329
28398412,28/08/2013,-5226.86,GBP,82747.49,NON-STG TRANS FEE,330
28398412,28/08/2013,-13.16,GBP,77520.63,NON-STG PURCH FEE,331
28398412,30/08/2013,-6.52,GBP,77507.47,NON-STG TRANS FEE,332
28398412,30/08/2013,82.53,GBP,77500.95,NON-STG PURCH FEE,333
28398412,30/08/2013,3.00,GBP,77583.48,NON-STG TRANS FEE,334
28398412,30/08/2013,26.82,GBP,77586.48,NON-STG CASH FEE,335
28398412,04/04/2013,-803.62,GBP,77613.30,APPLE/206996000200925,336
28398412,28/05/2013,-122.28,GBP,76809.68,NEW LOOK,337
28398412,05/06/2013,-118.02,GBP,76687.40,PAYPAL/000980200117995,338
28398412,28/06/2013,-12.85,GBP,76569.38,BT GROUP PLC  ,339
28398412,11/07/2013,-2.02,GBP,76556.53,APPLE/206996000200925,340
28398412,27/08/2013,-2.02,GBP,76554.51,BT DIRECT DEBITS ,341
28399264,19/04/2013,-1206.23,GBP,76552.49,MSFT/000311020007887,342
28399264,19/04/2013,-32.38,GBP,75346.26,MSFT/000311020007887,343
28399264,22/04/2013,3.23,GBP,75313.88,FDR POS TERM RENT,344
28399264,07/08/2013,1086.36,GBP,75317.11,APPLE/206996000200925,345
28399264,07/08/2013,162.28,GBP,76403.47,APPLE/206996000200925,346
28399264,07/08/2013,12882.82,GBP,76565.75,APPLE/206996000200925,347
28399264,09/08/2013,10.80,GBP,89448.57,VODAFONE LIMITED ,348
28399264,09/08/2013,22.63,GBP,89459.37,VODAFONE LIMITED ,349
28399826,09/04/2013,581.66,GBP,89482.00,NEXT/24120672,350
28399826,10/04/2013,208.86,GBP,90063.66,NEXT DIRECTORY,351
28399826,24/05/2013,283.52,GBP,90272.52,PAYPAL/000980200119991,352
28399826,24/05/2013,82.31,GBP,90556.04,PAYPAL/000980020230994,353
28399826,28/05/2013,66.68,GBP,90638.35,PAYPAL,354
28399826,03/06/2013,136.86,GBP,90705.03,APPLE/206996000200925,355
28399826,03/06/2013,56.88,GBP,90841.89,APPLE/206996000200925,356
28399826,05/06/2013,88.68,GBP,90898.77,VODAFONE LIMITED ,357
28399826,05/06/2013,6.03,GBP,90987.45,VODAFONE LIMITED ,358
28399826,19/06/2013,268.08,GBP,90993.48,PAYPAL,359
28399826,20/06/2013,118.21,GBP,91261.56,APPLE/206996000200925,360
28399826,24/06/2013,680.61,GBP,91379.77,VODAFONE LIMITED ,361
28399826,01/07/2013,16.86,GBP,92060.38,APPLE/206996000200925,362
28399826,01/07/2013,163.65,GBP,92077.24,APPLE/206996000200925,363
28399826,01/07/2013,11.63,GBP,92240.89,APPLE/206996000200925,364
28399826,01/07/2013,20.20,GBP,92252.52,APPLE/206996000200925,365
